table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Chesapeake city, Virginia	249,415	249,803	251,739	252,488
.Colonial Heights city, Virginia	18,171	18,187	18,218	18,294
.Covington city, Virginia	5,744	5,742	5,731	5,679
.Danville city, Virginia	42,592	42,577	42,376	42,229
.Emporia city, Virginia	5,766	5,709	5,622	5,481
.Fairfax city, Virginia	24,148	24,175	24,391	24,835
.Falls Church city, Virginia	14,658	14,677	14,546	14,586
.Franklin city, Virginia	8,179	8,149	8,128	8,247
.Fredericksburg city, Virginia	27,979	27,995	28,458	28,757
.Galax city, Virginia	6,725	6,714	6,659	6,730
.Hampton city, Virginia	137,158	137,276	137,847	138,037
.Harrisonburg city, Virginia	51,810	51,706	51,526	51,158
.Hopewell city, Virginia	23,032	23,010	23,145	22,962
.Lexington city, Virginia	7,317	7,321	7,433	7,457
.Lynchburg city, Virginia	79,007	78,973	79,118	79,287
.Manassas city, Virginia	42,773	42,692	42,765	42,642
.Manassas Park city, Virginia	17,217	17,161	17,082	16,703
.Martinsville city, Virginia	13,486	13,479	13,549	13,725
.Newport News city, Virginia	186,243	186,033	184,764	184,306
.Norfolk city, Virginia	238,001	237,738	235,025	232,995
.Norton city, Virginia	3,696	3,680	3,631	3,609
.Petersburg city, Virginia	33,457	33,388	33,367	33,394
.Poquoson city, Virginia	12,455	12,472	12,609	12,582
.Portsmouth city, Virginia	97,915	97,954	97,638	97,029
.Radford city, Virginia	16,068	16,119	16,542	16,738
.Richmond city, Virginia	226,618	227,008	227,602	229,395
.Roanoke city, Virginia	100,015	99,883	98,744	97,847
.Salem city, Virginia	25,347	25,399	25,354	25,523
.Staunton city, Virginia	25,754	25,811	25,653	25,904
.Suffolk city, Virginia	94,326	94,697	96,328	98,537
.Virginia Beach city, Virginia	459,471	459,646	458,680	455,618
.Waynesboro city, Virginia	22,195	22,276	22,596	22,808
.Williamsburg city, Virginia	15,413	15,468	15,675	15,909
.Winchester city, Virginia	28,122	28,009	28,115	27,936
.Adams County, Washington	20,612	20,608	20,640	20,961
.Asotin County, Washington	22,288	22,325	22,468	22,508
.Benton County, Washington	206,875	207,413	210,585	212,791
.Chelan County, Washington	79,078	79,228	79,775	79,926
.Clallam County, Washington	77,160	77,357	78,442	77,805
.Clark County, Washington	503,309	505,301	512,588	516,779
.Columbia County, Washington	3,952	3,949	4,015	4,026
.Cowlitz County, Washington	110,740	111,019	111,648	111,956
.Douglas County, Washington	42,937	43,031	43,838	44,192
.Ferry County, Washington	7,178	7,196	7,267	7,448
.Franklin County, Washington	96,746	97,143	98,126	98,678
.Garfield County, Washington	2,288	2,298	2,354	2,363
.Grant County, Washington	99,120	99,427	100,440	101,311
.Grays Harbor County, Washington	75,636	75,855	76,787	77,038
.Island County, Washington	86,847	86,990	87,557	86,625
.Jefferson County, Washington	32,975	33,063	33,561	33,589
.King County, Washington	2,269,667	2,274,094	2,253,038	2,266,789
.Kitsap County, Washington	275,605	275,802	276,591	277,673
.Kittitas County, Washington	44,342	44,626	44,688	45,189
.Klickitat County, Washington	22,734	22,816	23,178	23,271
.Lewis County, Washington	82,152	82,556	84,575	85,370
.Lincoln County, Washington	10,879	10,927	11,277	11,601
.Mason County, Washington	65,722	66,029	67,229	68,166
.Okanogan County, Washington	42,098	42,146	42,741	43,127
.Pacific County, Washington	23,365	23,491	23,971	24,113
.Pend Oreille County, Washington	13,404	13,506	13,906	14,179
.Pierce County, Washington	921,137	923,524	927,199	927,380
.San Juan County, Washington	17,789	17,827	18,615	18,662
.Skagit County, Washington	129,515	129,884	130,933	131,179
.Skamania County, Washington	12,033	12,033	12,207	12,460
.Snohomish County, Washington	827,947	829,869	836,037	840,079
.Spokane County, Washington	539,332	541,125	545,498	549,690
.Stevens County, Washington	46,450	46,587	47,553	48,229
.Thurston County, Washington	294,797	295,988	298,078	298,758
.Wahkiakum County, Washington	4,419	4,443	4,579	4,688
.Walla Walla County, Washington	62,586	62,619	62,158	61,890
.Whatcom County, Washington	226,843	227,430	226,718	230,677
.Whitman County, Washington	47,971	47,804	43,238	47,619
.Yakima County, Washington	256,719	256,702	256,647	257,001
.Barbour County, West Virginia	15,462	15,463	15,445	15,414
.Berkeley County, West Virginia	122,078	122,691	126,194	129,490
.Boone County, West Virginia	21,807	21,739	21,367	20,968
.Braxton County, West Virginia	12,449	12,397	12,293	12,185
.Brooke County, West Virginia	22,551	22,472	22,109	21,733
.Cabell County, West Virginia	94,346	94,234	93,494	92,730
.Calhoun County, West Virginia	6,228	6,199	6,165	6,068
.Clay County, West Virginia	8,050	8,007	7,895	7,814
.Doddridge County, West Virginia	7,808	7,787	7,739	7,698
.Fayette County, West Virginia	40,485	40,425	40,083	39,487
.Gilmer County, West Virginia	7,417	7,397	7,389	7,325
.Grant County, West Virginia	10,975	10,988	11,009	10,968
.Greenbrier County, West Virginia	32,979	32,895	32,698	32,435
.Hampshire County, West Virginia	23,092	23,097	23,374	23,468
.Hancock County, West Virginia	29,095	29,037	28,591	28,172
.Hardy County, West Virginia	14,298	14,241	14,155	14,192
.Harrison County, West Virginia	65,922	65,839	65,436	64,915
.Jackson County, West Virginia	27,792	27,720	27,761	27,716
.Jefferson County, West Virginia	57,707	57,783	58,520	58,979
.Kanawha County, West Virginia	180,744	180,217	177,993	175,515
.Lewis County, West Virginia	17,028	17,016	16,897	16,767
.Lincoln County, West Virginia	20,459	20,363	20,191	19,901
.Logan County, West Virginia	32,572	32,510	31,917	31,316
.McDowell County, West Virginia	19,118	18,921	18,413	17,850
.Marion County, West Virginia	56,211	56,230	56,117	55,952
.Marshall County, West Virginia	30,589	30,497	30,208	29,752
.Mason County, West Virginia	25,448	25,398	25,290	25,000
.Mercer County, West Virginia	59,660	59,517	59,215	58,700
.Mineral County, West Virginia	26,938	26,890	26,866	26,855
.Mingo County, West Virginia	23,574	23,487	23,094	22,573
.Monongalia County, West Virginia	105,822	105,905	106,487	106,869
.Monroe County, West Virginia	12,375	12,380	12,383	12,296
.Morgan County, West Virginia	17,067	17,087	17,280	17,430
.Nicholas County, West Virginia	24,603	24,554	24,415	24,335
.Ohio County, West Virginia	42,444	42,338	41,878	41,447
.Pendleton County, West Virginia	6,145	6,132	6,078	6,011
.Pleasants County, West Virginia	7,653	7,652	7,612	7,586
.Pocahontas County, West Virginia	7,873	7,864	7,890	7,819
.Preston County, West Virginia	34,214	34,187	34,270	34,172
.Putnam County, West Virginia	57,435	57,432	57,355	57,015
.Raleigh County, West Virginia	74,581	74,386	73,801	72,882
.Randolph County, West Virginia	27,934	27,892	27,891	27,600
.Ritchie County, West Virginia	8,450	8,426	8,388	8,207
.Roane County, West Virginia	14,028	13,986	13,912	13,834
.Summers County, West Virginia	11,968	11,939	11,892	11,762
.Taylor County, West Virginia	16,701	16,684	16,483	16,342
.Tucker County, West Virginia	6,765	6,753	6,675	6,568
.Tyler County, West Virginia	8,311	8,296	8,243	8,183
.Upshur County, West Virginia	23,817	23,813	23,820	23,712
.Wayne County, West Virginia	38,983	38,864	38,533	37,998
.Webster County, West Virginia	8,380	8,356	8,286	8,167
.Wetzel County, West Virginia	14,441	14,392	14,195	14,025
.Wirt County, West Virginia	5,196	5,186	5,059	5,091
.Wood County, West Virginia	84,300	84,142	83,791	83,340
.Wyoming County, West Virginia	21,387	21,317	20,991	20,527
.Adams County, Wisconsin	20,646	20,675	20,795	21,226
.Ashland County, Wisconsin	16,033	16,018	16,054	16,039
.Barron County, Wisconsin	46,709	46,714	46,746	46,843
.Bayfield County, Wisconsin	16,213	16,233	16,304	16,608
.Brown County, Wisconsin	268,729	268,921	268,814	270,036
.Buffalo County, Wisconsin	13,312	13,319	13,312	13,391
.Burnett County, Wisconsin	16,526	16,579	16,759	17,036
.Calumet County, Wisconsin	52,433	52,462	52,587	52,718
.Chippewa County, Wisconsin	66,302	66,337	66,628	66,807
.Clark County, Wisconsin	34,660	34,667	34,722	34,691
.Columbia County, Wisconsin	58,480	58,516	58,404	58,193
.Crawford County, Wisconsin	16,115	16,084	16,082	16,007
.Dane County, Wisconsin	561,507	562,577	561,724	568,203
.Dodge County, Wisconsin	89,398	89,353	88,657	88,282
.Door County, Wisconsin	30,066	30,120	30,406	30,526
.Douglas County, Wisconsin	44,291	44,343	44,026	44,144
.Dunn County, Wisconsin	45,434	45,441	44,509	45,651
.Eau Claire County, Wisconsin	105,702	105,874	105,988	106,837
.Florence County, Wisconsin	4,555	4,560	4,586	4,688
.Fond du Lac County, Wisconsin	104,152	104,150	104,166	103,836
.Forest County, Wisconsin	9,176	9,165	9,262	9,381
.Grant County, Wisconsin	51,950	51,984	51,285	51,276
.Green County, Wisconsin	37,092	37,036	37,018	36,816
.Green Lake County, Wisconsin	19,023	19,022	19,249	19,220
.Iowa County, Wisconsin	23,709	23,709	23,777	23,865
.Iron County, Wisconsin	6,138	6,146	6,193	6,224
.Jackson County, Wisconsin	21,142	21,096	20,899	20,836
.Jefferson County, Wisconsin	86,151	86,193	85,796	85,784
.Juneau County, Wisconsin	26,721	26,780	26,756	26,866
.Kenosha County, Wisconsin	169,156	169,184	168,465	167,817
.Kewaunee County, Wisconsin	20,556	20,550	20,577	20,623
.La Crosse County, Wisconsin	120,796	120,930	119,367	120,294
.Lafayette County, Wisconsin	16,608	16,613	16,816	16,877
.Langlade County, Wisconsin	19,491	19,462	19,505	19,559
.Lincoln County, Wisconsin	28,421	28,429	28,453	28,376
.Manitowoc County, Wisconsin	81,360	81,384	81,479	81,172
.Marathon County, Wisconsin	138,007	138,047	137,746	137,958
.Marinette County, Wisconsin	41,874	41,885	41,849	41,988
.Marquette County, Wisconsin	15,596	15,594	15,777	15,779
.Menominee County, Wisconsin	4,250	4,256	4,292	4,197
.Milwaukee County, Wisconsin	939,495	938,527	924,207	918,661
.Monroe County, Wisconsin	46,270	46,296	46,246	46,109
.Oconto County, Wisconsin	38,971	39,080	39,393	39,633
.Oneida County, Wisconsin	37,848	37,872	38,282	38,212
.Outagamie County, Wisconsin	190,710	190,961	191,309	192,127
.Ozaukee County, Wisconsin	91,499	91,613	92,551	93,009
.Pepin County, Wisconsin	7,326	7,347	7,386	7,410
.Pierce County, Wisconsin	42,205	42,223	41,606	42,532
.Polk County, Wisconsin	44,979	45,032	45,521	45,709
.Portage County, Wisconsin	70,376	70,402	69,429	70,718
.Price County, Wisconsin	14,055	14,032	14,055	14,179
.Racine County, Wisconsin	197,720	197,536	196,439	195,846
.Richland County, Wisconsin	17,302	17,272	17,166	17,090
.Rock County, Wisconsin	163,692	163,751	164,192	164,060
.Rusk County, Wisconsin	14,192	14,179	14,116	14,186
.St. Croix County, Wisconsin	93,539	93,874	95,055	96,017
.Sauk County, Wisconsin	65,780	65,793	65,740	65,777
.Sawyer County, Wisconsin	18,080	18,123	18,247	18,559
.Shawano County, Wisconsin	40,886	40,873	40,812	40,886
.Sheboygan County, Wisconsin	118,023	118,030	117,697	117,841
.Taylor County, Wisconsin	19,915	19,937	19,944	19,975
.Trempealeau County, Wisconsin	30,756	30,806	30,730	30,899
.Vernon County, Wisconsin	30,715	30,698	30,921	31,060
.Vilas County, Wisconsin	23,047	23,097	23,522	23,763
.Walworth County, Wisconsin	105,226	105,308	105,200	105,380
.Washburn County, Wisconsin	16,622	16,613	16,760	16,911
.Washington County, Wisconsin	136,756	136,784	137,237	137,688
.Waukesha County, Wisconsin	406,971	407,467	409,080	410,434
.Waupaca County, Wisconsin	51,811	51,791	51,992	51,488
.Waushara County, Wisconsin	24,526	24,549	24,797	24,999
.Winnebago County, Wisconsin	171,734	171,800	170,554	170,718
.Wood County, Wisconsin	74,218	74,197	74,085	73,993
.Albany County, Wyoming	37,070	37,110	37,860	38,031
.Big Horn County, Wyoming	11,521	11,481	11,645	11,855
.Campbell County, Wyoming	47,027	47,139	46,533	47,058
.Carbon County, Wyoming	14,531	14,504	14,679	14,542
.Converse County, Wyoming	13,747	13,741	13,678	13,786
.Crook County, Wyoming	7,184	7,186	7,319	7,448
.Fremont County, Wyoming	39,234	39,197	39,422	39,472
.Goshen County, Wyoming	12,503	12,514	12,557	12,562
.Hot Springs County, Wyoming	4,618	4,618	4,574	4,588
.Johnson County, Wyoming	8,451	8,467	8,633	8,730
.Laramie County, Wyoming	100,506	100,718	100,794	100,723
.Lincoln County, Wyoming	19,582	19,657	20,170	20,660
.Natrona County, Wyoming	79,955	80,282	79,660	79,601
.Niobrara County, Wyoming	2,469	2,452	2,414	2,380
.Park County, Wyoming	29,625	29,664	30,142	30,518
.Platte County, Wyoming	8,603	8,632	8,674	8,645
.Sheridan County, Wyoming	30,925	31,005	31,667	32,096
.Sublette County, Wyoming	8,728	8,738	8,725	8,763
.Sweetwater County, Wyoming	42,267	42,190	41,582	41,345
.Teton County, Wyoming	23,323	23,377	23,622	23,287
.Uinta County, Wyoming	20,446	20,457	20,655	20,712
.Washakie County, Wyoming	7,682	7,658	7,712	7,719
.Weston County, Wyoming	6,840	6,818	6,766	6,860
Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022.   				
Suggested Citation:				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022 (CO-EST2022-POP)				
Source: U.S. Census Bureau, Population Division				
Release Date: March 2023				
